state_id,school_type,num_of_schools
24,TLM_grant,93
25,TLM_grant,0
26,TLM_grant,0
27,TLM_grant,938
28,TLM_grant,211
29,TLM_grant,987
30,TLM_grant,10
31,TLM_grant,0
32,TLM_grant,455
33,TLM_grant,3454
34,TLM_grant,7
35,TLM_grant,1
1,school_development_grant,8512
2,school_development_grant,14530
3,school_development_grant,19166
4,school_development_grant,95
5,school_development_grant,16071
6,school_development_grant,13720
7,school_development_grant,2703
8,school_development_grant,48869
9,school_development_grant,136426
10,school_development_grant,59405
11,school_development_grant,705
12,school_development_grant,2626
13,school_development_grant,311
14,school_development_grant,2457
15,school_development_grant,2009
16,school_development_grant,4121
17,school_development_grant,8642
18,school_development_grant,39209
19,school_development_grant,73268
20,school_development_grant,37646
21,school_development_grant,50190
22,school_development_grant,41411
23,school_development_grant,84973
24,school_development_grant,32667
25,school_development_grant,90
26,school_development_grant,281
27,school_development_grant,72529
28,school_development_grant,37460
29,school_development_grant,42596
30,school_development_grant,1207
31,school_development_grant,37
32,school_development_grant,9993
33,school_development_grant,44703
34,school_development_grant,380
35,school_development_grant,304
