,state_id,state_name,area_type,age_group,education_level,male,female,total
302,3,State - PUNJAB,Rural,17,Total,192977,154984,347961
303,3,State - PUNJAB,Rural,18,Total,225644,178798,404442
304,3,State - PUNJAB,Rural,19,Total,182355,150900,333255
305,3,State - PUNJAB,Rural,20-24,Total,888739,818094,1706833
306,3,State - PUNJAB,Rural,25-29,Total,738196,717260,1455456
307,3,State - PUNJAB,Rural,30-34,Total,636268,627238,1263506
308,3,State - PUNJAB,Rural,35-39,Total,604249,598593,1202842
309,3,State - PUNJAB,Rural,40-44,Total,555906,546738,1102644
310,3,State - PUNJAB,Rural,45-49,Total,495583,469359,964942
311,3,State - PUNJAB,Rural,50-54,Total,397863,351994,749857
312,3,State - PUNJAB,Rural,55-59,Total,283796,285350,569146
313,3,State - PUNJAB,Rural,60-64,Total,309825,344904,654729
314,3,State - PUNJAB,Rural,65-69,Total,257824,238287,496111
315,3,State - PUNJAB,Rural,70-74,Total,191121,164996,356117
316,3,State - PUNJAB,Rural,75-79,Total,89364,86608,175972
317,3,State - PUNJAB,Rural,80+,Total,135823,138958,274781
318,3,State - PUNJAB,Rural,Age not stated,Total,15833,13777,29610
319,3,State - PUNJAB,Urban,All ages,Total,5545989,4853157,10399146
320,3,State - PUNJAB,Urban,0-6,Total,610697,520020,1130717
321,3,State - PUNJAB,Urban,7,Total,95258,79909,175167
322,3,State - PUNJAB,Urban,8,Total,94798,76998,171796
323,3,State - PUNJAB,Urban,9,Total,92996,72481,165477
324,3,State - PUNJAB,Urban,10,Total,111307,84487,195794
325,3,State - PUNJAB,Urban,11,Total,98552,76263,174815
326,3,State - PUNJAB,Urban,12,Total,101953,79911,181864
327,3,State - PUNJAB,Urban,13,Total,99564,78338,177902
328,3,State - PUNJAB,Urban,14,Total,102788,81411,184199
329,3,State - PUNJAB,Urban,15,Total,109830,84683,194513
330,3,State - PUNJAB,Urban,16,Total,109261,85349,194610
331,3,State - PUNJAB,Urban,17,Total,106487,82471,188958
332,3,State - PUNJAB,Urban,18,Total,129937,97234,227171
333,3,State - PUNJAB,Urban,19,Total,110834,87170,198004
334,3,State - PUNJAB,Urban,20-24,Total,576792,493011,1069803
335,3,State - PUNJAB,Urban,25-29,Total,532209,476196,1008405
336,3,State - PUNJAB,Urban,30-34,Total,446265,406768,853033
337,3,State - PUNJAB,Urban,35-39,Total,406613,379616,786229
338,3,State - PUNJAB,Urban,40-44,Total,353302,332523,685825
339,3,State - PUNJAB,Urban,45-49,Total,322552,300277,622829
340,3,State - PUNJAB,Urban,50-54,Total,265801,238806,504607
341,3,State - PUNJAB,Urban,55-59,Total,202049,185360,387409
342,3,State - PUNJAB,Urban,60-64,Total,172658,169203,341861
343,3,State - PUNJAB,Urban,65-69,Total,114982,108495,223477
344,3,State - PUNJAB,Urban,70-74,Total,80999,76356,157355
345,3,State - PUNJAB,Urban,75-79,Total,40839,39855,80694
346,3,State - PUNJAB,Urban,80+,Total,50227,54493,104720
347,3,State - PUNJAB,Urban,Age not stated,Total,6439,5473,11912
348,4,State - CHANDIGARH,Total,All ages,Total,580663,474787,1055450
349,4,State - CHANDIGARH,Total,0-6,Total,63536,55898,119434
350,4,State - CHANDIGARH,Total,7,Total,9987,8637,18624
351,4,State - CHANDIGARH,Total,8,Total,9413,7858,17271
352,4,State - CHANDIGARH,Total,9,Total,9666,8053,17719
353,4,State - CHANDIGARH,Total,10,Total,11410,8950,20360
354,4,State - CHANDIGARH,Total,11,Total,10180,8116,18296
355,4,State - CHANDIGARH,Total,12,Total,10461,8212,18673
356,4,State - CHANDIGARH,Total,13,Total,9846,7906,17752
357,4,State - CHANDIGARH,Total,14,Total,10243,8140,18383
358,4,State - CHANDIGARH,Total,15,Total,10603,8335,18938
359,4,State - CHANDIGARH,Total,16,Total,11116,8438,19554
360,4,State - CHANDIGARH,Total,17,Total,11139,7977,19116
361,4,State - CHANDIGARH,Total,18,Total,14792,9868,24660
362,4,State - CHANDIGARH,Total,19,Total,12871,9279,22150
363,4,State - CHANDIGARH,Total,20-24,Total,68467,52777,121244
364,4,State - CHANDIGARH,Total,25-29,Total,60694,49543,110237
365,4,State - CHANDIGARH,Total,30-34,Total,49625,41178,90803
366,4,State - CHANDIGARH,Total,35-39,Total,45566,38106,83672
367,4,State - CHANDIGARH,Total,40-44,Total,37268,31653,68921
368,4,State - CHANDIGARH,Total,45-49,Total,32893,27459,60352
369,4,State - CHANDIGARH,Total,50-54,Total,26108,20834,46942
370,4,State - CHANDIGARH,Total,55-59,Total,19745,15180,34925
371,4,State - CHANDIGARH,Total,60-64,Total,13530,12271,25801
372,4,State - CHANDIGARH,Total,65-69,Total,8250,7589,15839
373,4,State - CHANDIGARH,Total,70-74,Total,5998,5387,11385
374,4,State - CHANDIGARH,Total,75-79,Total,3255,3167,6422
375,4,State - CHANDIGARH,Total,80+,Total,3800,3831,7631
376,4,State - CHANDIGARH,Total,Age not stated,Total,201,145,346
377,4,State - CHANDIGARH,Rural,All ages,Total,17150,11841,28991
378,4,State - CHANDIGARH,Rural,0-6,Total,2282,1988,4270
379,4,State - CHANDIGARH,Rural,7,Total,332,264,596
380,4,State - CHANDIGARH,Rural,8,Total,298,257,555
381,4,State - CHANDIGARH,Rural,9,Total,271,250,521
382,4,State - CHANDIGARH,Rural,10,Total,350,265,615
383,4,State - CHANDIGARH,Rural,11,Total,302,245,547
384,4,State - CHANDIGARH,Rural,12,Total,299,200,499
385,4,State - CHANDIGARH,Rural,13,Total,232,195,427
386,4,State - CHANDIGARH,Rural,14,Total,238,211,449
387,4,State - CHANDIGARH,Rural,15,Total,302,210,512
388,4,State - CHANDIGARH,Rural,16,Total,324,181,505
389,4,State - CHANDIGARH,Rural,17,Total,284,177,461
390,4,State - CHANDIGARH,Rural,18,Total,486,205,691
391,4,State - CHANDIGARH,Rural,19,Total,391,205,596
392,4,State - CHANDIGARH,Rural,20-24,Total,2255,1338,3593
393,4,State - CHANDIGARH,Rural,25-29,Total,2260,1546,3806
394,4,State - CHANDIGARH,Rural,30-34,Total,1902,1199,3101
395,4,State - CHANDIGARH,Rural,35-39,Total,1455,866,2321
396,4,State - CHANDIGARH,Rural,40-44,Total,947,600,1547
397,4,State - CHANDIGARH,Rural,45-49,Total,638,411,1049
398,4,State - CHANDIGARH,Rural,50-54,Total,415,308,723
399,4,State - CHANDIGARH,Rural,55-59,Total,272,231,503
400,4,State - CHANDIGARH,Rural,60-64,Total,277,204,481
401,4,State - CHANDIGARH,Rural,65-69,Total,140,115,255
