,state_id,area_type,education_level,age_group,number_of_women,number_of_married_women,male_children,female_children,fertility_rate
367,0,Urban,Matric or secondary but below graduate,80+,149437,128933,169735,151211,2.15
368,0,Urban,Graduate and above,All Ages,19487839,15088297,11191526,9949079,1.08
369,0,Urban,Graduate and above,Less than 15,0,0,0,0,
370,0,Urban,Graduate and above,15-19,0,0,0,0,
371,0,Urban,Graduate and above,20-24,3914310,1398717,356769,324394,0.17
372,0,Urban,Graduate and above,25-29,4368034,3156479,1496273,1354827,0.65
373,0,Urban,Graduate and above,30-34,3182068,2887147,2112290,1890114,1.26
374,0,Urban,Graduate and above,35-39,2408228,2294555,1965279,1733963,1.54
375,0,Urban,Graduate and above,40-44,1754961,1688602,1552290,1376096,1.67
376,0,Urban,Graduate and above,45-49,1309677,1265863,1221775,1088109,1.76
377,0,Urban,Graduate and above,50-54,942005,906621,925658,806347,1.84
378,0,Urban,Graduate and above,55-59,666876,639027,669246,584422,1.88
379,0,Urban,Graduate and above,60-64,414057,394010,422825,374214,1.92
380,0,Urban,Graduate and above,65-69,203950,190325,208978,184735,1.93
381,0,Urban,Graduate and above,70-74,114212,103592,115383,102753,1.91
382,0,Urban,Graduate and above,75-79,53621,48392,53318,48559,1.9
383,0,Urban,Graduate and above,80+,73566,60115,54039,48330,1.39
384,1,Total,Total,All Ages,5900640,2835216,4665697,4175339,1.5
385,1,Total,Total,Less than 15,1985536,14194,2785,2487,0.0
386,1,Total,Total,15-19,597100,52222,14769,12537,0.05
387,1,Total,Total,20-24,557335,222631,128719,112620,0.43
388,1,Total,Total,25-29,501563,365375,362729,323911,1.37
389,1,Total,Total,30-34,431157,390076,535902,482395,2.36
390,1,Total,Total,35-39,396680,384585,648205,589097,3.12
391,1,Total,Total,40-44,326346,320524,608744,554169,3.56
392,1,Total,Total,45-49,279230,276454,562776,508602,3.84
393,1,Total,Total,50-54,212967,210904,450980,398808,3.99
394,1,Total,Total,55-59,167278,165901,368028,321771,4.12
395,1,Total,Total,60-64,149299,146945,331568,292757,4.18
396,1,Total,Total,65-69,101222,99172,229195,202419,4.26
397,1,Total,Total,70-74,86547,84812,193483,171924,4.22
398,1,Total,Total,75-79,41982,41249,96520,85058,4.33
399,1,Total,Total,80+,61026,58022,128645,114311,3.98
400,1,Total,Illiterate,All Ages,3098078,1750963,3424798,3105881,2.11
401,1,Total,Illiterate,Less than 15,1130816,3857,1515,1360,0.0
402,1,Total,Illiterate,15-19,111891,20873,8840,7739,0.15
403,1,Total,Illiterate,20-24,162292,96645,69679,61784,0.81
404,1,Total,Illiterate,25-29,197100,165083,198347,182239,1.93
405,1,Total,Illiterate,30-34,206465,194060,314699,291259,2.93
406,1,Total,Illiterate,35-39,222794,217953,421893,393636,3.66
407,1,Total,Illiterate,40-44,208019,205019,438060,405716,4.06
408,1,Total,Illiterate,45-49,192274,190654,429923,393613,4.28
409,1,Total,Illiterate,50-54,154989,153651,357859,319492,4.37
410,1,Total,Illiterate,55-59,129052,128165,304719,267732,4.44
411,1,Total,Illiterate,60-64,124161,122739,288877,256242,4.39
412,1,Total,Illiterate,65-69,87008,85914,204737,181672,4.44
413,1,Total,Illiterate,70-74,77621,76274,177297,158075,4.32
414,1,Total,Illiterate,75-79,37459,36873,87821,77844,4.42
415,1,Total,Illiterate,80+,53587,52112,118893,106011,4.2
416,1,Total,Literate,All Ages,2802562,1084253,1240899,1069458,0.82
417,1,Total,Literate,Less than 15,854720,10337,1270,1127,0.0
418,1,Total,Literate,15-19,485209,31349,5929,4798,0.02
419,1,Total,Literate,20-24,395043,125986,59040,50836,0.28
420,1,Total,Literate,25-29,304463,200292,164382,141672,1.01
421,1,Total,Literate,30-34,224692,196016,221203,191136,1.84
422,1,Total,Literate,35-39,173886,166632,226312,195461,2.43
423,1,Total,Literate,40-44,118327,115505,170684,148453,2.7
424,1,Total,Literate,45-49,86956,85800,132853,114989,2.85
425,1,Total,Literate,50-54,57978,57253,93121,79316,2.97
426,1,Total,Literate,55-59,38226,37736,63309,54039,3.07
427,1,Total,Literate,60-64,25138,24206,42691,36515,3.15
428,1,Total,Literate,65-69,14214,13258,24458,20747,3.18
429,1,Total,Literate,70-74,8926,8538,16186,13849,3.36
430,1,Total,Literate,75-79,4523,4376,8699,7214,3.52
431,1,Total,Literate,80+,7439,5910,9752,8300,2.43
432,1,Total,Literate but below primary,All Ages,446644,29162,43032,38349,0.18
433,1,Total,Literate but below primary,Less than 15,404728,2267,129,113,0.0
434,1,Total,Literate but below primary,15-19,9464,813,179,142,0.03
435,1,Total,Literate but below primary,20-24,6825,2626,1643,1503,0.46
436,1,Total,Literate but below primary,25-29,4821,3760,4274,4032,1.72
437,1,Total,Literate but below primary,30-34,4404,3992,6004,5474,2.61
438,1,Total,Literate but below primary,35-39,3869,3757,6447,5908,3.19
439,1,Total,Literate but below primary,40-44,3123,3068,5724,5091,3.46
440,1,Total,Literate but below primary,45-49,2448,2419,4730,4047,3.59
441,1,Total,Literate but below primary,50-54,1694,1676,3326,2998,3.73
442,1,Total,Literate but below primary,55-59,1342,1333,2819,2393,3.88
443,1,Total,Literate but below primary,60-64,1178,1114,2423,2076,3.82
444,1,Total,Literate but below primary,65-69,840,805,1900,1526,4.08
445,1,Total,Literate but below primary,70-74,724,704,1579,1494,4.24
446,1,Total,Literate but below primary,75-79,380,374,904,741,4.33
447,1,Total,Literate but below primary,80+,499,433,920,794,3.43
448,1,Total,Primary but below middle,All Ages,566397,169495,243806,214543,0.81
449,1,Total,Primary but below middle,Less than 15,323071,5204,493,437,0.0
450,1,Total,Primary but below middle,15-19,55098,4737,1094,978,0.04
451,1,Total,Primary but below middle,20-24,36434,17114,10462,9320,0.54
452,1,Total,Primary but below middle,25-29,29754,24460,26752,23877,1.7
453,1,Total,Primary but below middle,30-34,27793,25872,36767,32815,2.5
454,1,Total,Primary but below middle,35-39,25388,24863,40665,35962,3.02
455,1,Total,Primary but below middle,40-44,19272,18995,33087,29134,3.23
456,1,Total,Primary but below middle,45-49,16093,15994,29042,25564,3.39
457,1,Total,Primary but below middle,50-54,10992,10912,21287,18322,3.6
458,1,Total,Primary but below middle,55-59,7491,7451,15017,12976,3.74
459,1,Total,Primary but below middle,60-64,5920,5547,11487,10060,3.64
460,1,Total,Primary but below middle,65-69,3481,3346,7129,6139,3.81
461,1,Total,Primary but below middle,70-74,2327,2263,4866,4185,3.89
462,1,Total,Primary but below middle,75-79,1279,1262,2869,2342,4.07
463,1,Total,Primary but below middle,80+,1599,1383,2662,2318,3.11
464,1,Total,Middle but below matric or secondary,All Ages,651252,294794,359218,311258,1.03
465,1,Total,Middle but below matric or secondary,Less than 15,114724,2591,588,518,0.01
466,1,Total,Middle but below matric or secondary,15-19,173108,10869,2188,1748,0.02
467,1,Total,Middle but below matric or secondary,20-24,91891,37885,20959,18083,0.42
468,1,Total,Middle but below matric or secondary,25-29,78772,59327,56407,49261,1.34
469,1,Total,Middle but below matric or secondary,30-34,60267,55161,70242,61141,2.18
470,1,Total,Middle but below matric or secondary,35-39,47053,45663,67926,59010,2.7
471,1,Total,Middle but below matric or secondary,40-44,30033,29498,47213,41445,2.95
472,1,Total,Middle but below matric or secondary,45-49,20766,20577,34380,29695,3.09
473,1,Total,Middle but below matric or secondary,50-54,13414,13287,23401,19904,3.23
474,1,Total,Middle but below matric or secondary,55-59,8171,8077,14704,12468,3.33
475,1,Total,Middle but below matric or secondary,60-64,5285,5078,9372,8054,3.3
476,1,Total,Middle but below matric or secondary,65-69,3144,2846,5192,4348,3.03
477,1,Total,Middle but below matric or secondary,70-74,1790,1710,3079,2536,3.14
478,1,Total,Middle but below matric or secondary,75-79,956,928,1713,1471,3.33
479,1,Total,Middle but below matric or secondary,80+,1479,1134,1689,1434,2.11
480,1,Total,Matric or secondary but below graduate,All Ages,800145,383302,388242,328937,0.9
481,1,Total,Matric or secondary but below graduate,Less than 15,0,0,0,0,
482,1,Total,Matric or secondary but below graduate,15-19,241120,13995,2204,1719,0.02
483,1,Total,Matric or secondary but below graduate,20-24,187889,52699,20899,17641,0.21
484,1,Total,Matric or secondary but below graduate,25-29,112939,75087,56407,47358,0.92
485,1,Total,Matric or secondary but below graduate,30-34,81915,71239,74809,63193,1.68
486,1,Total,Matric or secondary but below graduate,35-39,62284,59538,75192,63843,2.23
487,1,Total,Matric or secondary but below graduate,40-44,40591,39581,54454,46661,2.49
488,1,Total,Matric or secondary but below graduate,45-49,28123,27705,39401,34150,2.62
489,1,Total,Matric or secondary but below graduate,50-54,18866,18650,27488,23187,2.69
490,1,Total,Matric or secondary but below graduate,55-59,12057,11897,18036,15237,2.76
491,1,Total,Matric or secondary but below graduate,60-64,6733,6626,10215,8447,2.77
492,1,Total,Matric or secondary but below graduate,65-69,3284,2929,4559,3823,2.55
493,1,Total,Matric or secondary but below graduate,70-74,1550,1427,2237,1760,2.58
494,1,Total,Matric or secondary but below graduate,75-79,634,604,919,715,2.58
495,1,Total,Matric or secondary but below graduate,80+,1572,1034,1203,977,1.39
496,1,Total,Graduate and above,All Ages,252485,150316,126326,106918,0.92
497,1,Total,Graduate and above,Less than 15,0,0,0,0,
498,1,Total,Graduate and above,15-19,0,0,0,0,
499,1,Total,Graduate and above,20-24,62767,11150,2699,2198,0.08
500,1,Total,Graduate and above,25-29,66552,29567,13566,11245,0.37
501,1,Total,Graduate and above,30-34,40874,31417,23659,19938,1.07
502,1,Total,Graduate and above,35-39,27174,25070,24941,21095,1.69
503,1,Total,Graduate and above,40-44,18973,18228,20379,17442,1.99
504,1,Total,Graduate and above,45-49,14242,13935,16249,13876,2.12
505,1,Total,Graduate and above,50-54,9084,8875,10478,8828,2.13
506,1,Total,Graduate and above,55-59,6116,5982,7152,6098,2.17
507,1,Total,Graduate and above,60-64,3316,3215,3927,3359,2.2
508,1,Total,Graduate and above,65-69,1501,1447,1763,1585,2.23
509,1,Total,Graduate and above,70-74,677,627,764,658,2.1
510,1,Total,Graduate and above,75-79,257,225,297,211,1.98
511,1,Total,Graduate and above,80+,715,463,395,321,1.0
512,1,Rural,Total,All Ages,4333583,2028365,3541405,3196767,1.55
513,1,Rural,Total,Less than 15,1560185,10371,2050,1806,0.0
514,1,Rural,Total,15-19,449010,41338,11870,10112,0.05
515,1,Rural,Total,20-24,404069,178257,107128,93901,0.5
516,1,Rural,Total,25-29,353024,274695,291252,261621,1.57
517,1,Rural,Total,30-34,303075,281716,416751,376613,2.62
518,1,Rural,Total,35-39,274557,268552,489941,448811,3.42
519,1,Rural,Total,40-44,226234,222939,459510,420449,3.89
520,1,Rural,Total,45-49,190923,189301,419887,381948,4.2
521,1,Rural,Total,50-54,146188,144948,337027,301681,4.37
522,1,Rural,Total,55-59,112854,112029,270057,240410,4.52
523,1,Rural,Total,60-64,104765,103156,249450,223499,4.51
524,1,Rural,Total,65-69,69940,68505,169244,151957,4.59
525,1,Rural,Total,70-74,61307,60100,145300,130224,4.49
526,1,Rural,Total,75-79,28938,28438,70919,63259,4.64
527,1,Rural,Total,80+,44530,42495,98967,88597,4.21
528,1,Rural,Illiterate,All Ages,2477382,1397780,2802220,2556172,2.16
529,1,Rural,Illiterate,Less than 15,905465,3113,1221,1084,0.0
530,1,Rural,Illiterate,15-19,97080,18396,7457,6558,0.14
531,1,Rural,Illiterate,20-24,138034,85049,61240,54253,0.84
532,1,Rural,Illiterate,25-29,163407,139843,171335,157983,2.02
533,1,Rural,Illiterate,30-34,168448,160030,266818,247328,3.05
534,1,Rural,Illiterate,35-39,177352,174171,349080,326719,3.81
535,1,Rural,Illiterate,40-44,165246,163120,361428,335154,4.22
536,1,Rural,Illiterate,45-49,151365,150211,351506,322577,4.45
537,1,Rural,Illiterate,50-54,122245,121301,293226,263727,4.56
538,1,Rural,Illiterate,55-59,98900,98283,243364,216803,4.65
539,1,Rural,Illiterate,60-64,95688,94628,231909,208053,4.6
540,1,Rural,Illiterate,65-69,65239,64409,160505,144263,4.67
541,1,Rural,Illiterate,70-74,58280,57290,139227,124878,4.53
542,1,Rural,Illiterate,75-79,27496,27068,67813,60705,4.67
543,1,Rural,Illiterate,80+,41135,40010,94726,84865,4.37
544,1,Rural,Literate,All Ages,1856201,630585,739185,640595,0.74
545,1,Rural,Literate,Less than 15,654720,7258,829,722,0.0
546,1,Rural,Literate,15-19,351930,22942,4413,3554,0.02
547,1,Rural,Literate,20-24,266035,93208,45888,39648,0.32
548,1,Rural,Literate,25-29,189617,134852,119917,103638,1.18
549,1,Rural,Literate,30-34,134627,121686,149933,129285,2.07
550,1,Rural,Literate,35-39,97205,94381,140861,122092,2.71
551,1,Rural,Literate,40-44,60988,59819,98082,85295,3.01
552,1,Rural,Literate,45-49,39558,39090,68381,59371,3.23
553,1,Rural,Literate,50-54,23943,23647,43801,37954,3.41
554,1,Rural,Literate,55-59,13954,13746,26693,23607,3.6
555,1,Rural,Literate,60-64,9077,8528,17541,15446,3.63
556,1,Rural,Literate,65-69,4701,4096,8739,7694,3.5
557,1,Rural,Literate,70-74,3027,2810,6073,5346,3.77
558,1,Rural,Literate,75-79,1442,1370,3106,2554,3.93
559,1,Rural,Literate,80+,3395,2485,4241,3732,2.35
560,1,Rural,Literate but below primary,All Ages,344263,21381,31439,28249,0.17
561,1,Rural,Literate but below primary,Less than 15,313137,1701,92,78,0.0
562,1,Rural,Literate but below primary,15-19,7633,692,153,120,0.04
563,1,Rural,Literate but below primary,20-24,5158,2167,1382,1281,0.52
564,1,Rural,Literate but below primary,25-29,3786,3053,3515,3350,1.81
565,1,Rural,Literate but below primary,30-34,3377,3103,4824,4424,2.74
566,1,Rural,Literate but below primary,35-39,2905,2840,5054,4633,3.33
567,1,Rural,Literate but below primary,40-44,2323,2284,4443,3936,3.61
568,1,Rural,Literate but below primary,45-49,1759,1733,3531,3039,3.74
569,1,Rural,Literate but below primary,50-54,1186,1174,2381,2199,3.86
570,1,Rural,Literate but below primary,55-59,889,882,1956,1640,4.04
571,1,Rural,Literate but below primary,60-64,692,646,1461,1283,3.97
572,1,Rural,Literate but below primary,65-69,426,399,1026,810,4.31
573,1,Rural,Literate but below primary,70-74,340,329,743,700,4.24
574,1,Rural,Literate but below primary,75-79,166,163,396,344,4.46
575,1,Rural,Literate but below primary,80+,245,201,457,398,3.49
576,1,Rural,Primary but below middle,All Ages,434962,126143,180370,159643,0.78
577,1,Rural,Primary but below middle,Less than 15,248958,3689,331,282,0.0
578,1,Rural,Primary but below middle,15-19,45578,3979,903,798,0.04
579,1,Rural,Primary but below middle,20-24,29820,14494,8843,7937,0.56
580,1,Rural,Primary but below middle,25-29,24028,20173,22431,20069,1.77
581,1,Rural,Primary but below middle,30-34,22039,20713,30239,26838,2.59
582,1,Rural,Primary but below middle,35-39,19208,18906,31791,28174,3.12
583,1,Rural,Primary but below middle,40-44,14173,14013,25179,22175,3.34
584,1,Rural,Primary but below middle,45-49,11482,11421,21349,18975,3.51
585,1,Rural,Primary but below middle,50-54,7609,7556,15192,13182,3.73
586,1,Rural,Primary but below middle,55-59,4710,4688,9729,8630,3.9
587,1,Rural,Primary but below middle,60-64,3439,3159,6887,6066,3.77
588,1,Rural,Primary but below middle,65-69,1533,1437,3236,2907,4.01
589,1,Rural,Primary but below middle,70-74,935,889,2085,1814,4.17
590,1,Rural,Primary but below middle,75-79,426,419,1067,823,4.44
591,1,Rural,Primary but below middle,80+,695,543,1027,900,2.77
592,1,Rural,Middle but below matric or secondary,All Ages,472548,202167,241056,209177,0.95
593,1,Rural,Middle but below matric or secondary,Less than 15,83620,1708,365,324,0.01
594,1,Rural,Middle but below matric or secondary,15-19,136475,8571,1749,1377,0.02
595,1,Rural,Middle but below matric or secondary,20-24,73365,31221,17441,14991,0.44
596,1,Rural,Middle but below matric or secondary,25-29,59754,46464,45366,39304,1.42
597,1,Rural,Middle but below matric or secondary,30-34,44126,41075,53890,46765,2.28
598,1,Rural,Middle but below matric or secondary,35-39,31606,30874,47821,41503,2.83
599,1,Rural,Middle but below matric or secondary,40-44,18342,18072,30301,26571,3.1
600,1,Rural,Middle but below matric or secondary,45-49,11077,10960,19491,16750,3.27
601,1,Rural,Middle but below matric or secondary,50-54,6532,6465,12019,10374,3.43
602,1,Rural,Middle but below matric or secondary,55-59,3308,3250,6272,5564,3.58
603,1,Rural,Middle but below matric or secondary,60-64,1877,1749,3450,3080,3.48
604,1,Rural,Middle but below matric or secondary,65-69,931,714,1285,1201,2.67
605,1,Rural,Middle but below matric or secondary,70-74,404,359,682,570,3.1
606,1,Rural,Middle but below matric or secondary,75-79,165,149,300,259,3.39
607,1,Rural,Middle but below matric or secondary,80+,657,420,504,454,1.46
608,1,Rural,Matric or secondary but below graduate,All Ages,471820,205966,202708,171898,0.79
609,1,Rural,Matric or secondary but below graduate,Less than 15,0,0,0,0,
610,1,Rural,Matric or secondary but below graduate,15-19,157480,9005,1406,1088,0.02
611,1,Rural,Matric or secondary but below graduate,20-24,124673,37102,15117,12884,0.22
612,1,Rural,Matric or secondary but below graduate,25-29,70542,48728,38224,32106,1.0
613,1,Rural,Matric or secondary but below graduate,30-34,46914,41667,46414,38899,1.82
614,1,Rural,Matric or secondary but below graduate,35-39,31848,30711,41883,35584,2.43
615,1,Rural,Matric or secondary but below graduate,40-44,18323,17885,26784,22770,2.7
616,1,Rural,Matric or secondary but below graduate,45-49,10088,9930,15496,13456,2.87
617,1,Rural,Matric or secondary but below graduate,50-54,5490,5406,8678,7492,2.95
618,1,Rural,Matric or secondary but below graduate,55-59,2979,2911,4872,4244,3.06
